ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
BAYRAMPAŞA,KARTALTEPE,43660,42654
BAYRAMPAŞA,KOCATEPE,21396,20707
BAYRAMPAŞA,MURATPAŞA,32692,32326
BAYRAMPAŞA,ORTA,15925,15488
BAYRAMPAŞA,TERAZİDERE,15709,15345
BAYRAMPAŞA,VATAN,10474,10049
BAYRAMPAŞA,YENİDOĞAN,18158,17867
BAYRAMPAŞA,YILDIRIM,49631,49940
BAYRAMPAŞA,İSMET PAŞA,16427,15861
BAĞCILAR,100. YIL,48200,47500
BAĞCILAR,15 TEMMUZ,74990,74016
BAĞCILAR,BARBAROS,27249,26456
BAĞCILAR,BAĞLAR,13061,12960
BAĞCILAR,DEMİRKAPI,53878,53791
BAĞCILAR,FATİH,42296,41062
BAĞCILAR,FEVZİ ÇAKMAK,33557,32703
BAĞCILAR,GÖZTEPE,26174,25233
BAĞCILAR,GÜNEŞLİ,47207,45518
BAĞCILAR,HÜRRİYET,26012,25567
BAĞCILAR,KAZIM KARABEKİR,27823,26879
BAĞCILAR,KEMALPAŞA,33830,32548
BAĞCILAR,KİRAZLI,40496,3934
BAĞCILAR,MAHMUTBEY,27624,27816
BAĞCILAR,MERKEZ,26063,25419
BAĞCILAR,SANCAKTEPE,19006,18348
BAĞCILAR,YAVUZ SELİM,2816,27473
BAĞCILAR,YENİGÜN,21802,21166
BAĞCILAR,YENİMAHALLE,34862,34138
BAĞCILAR,YILDIZTEPE,31273,30111
BAĞCILAR,ÇINAR,32878,31563
BAĞCILAR,İNÖNÜ,24198,23376
BAŞAKŞEHİR,ALTINŞEHİR,22945,24901
BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,36449,36693
BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,60219,60171
BAŞAKŞEHİR,BAŞAK,73744,69985
BAŞAKŞEHİR,BAŞAKŞEHİR,73618,71096
BAŞAKŞEHİR,GÜVERCİNTEPE,73768,74234
BAŞAKŞEHİR,KAYABAŞI,110619,117163
BAŞAKŞEHİR,ZİYA GÖKALP,29461,29997
BAŞAKŞEHİR,İKITELLI OSB,23,21
BAŞAKŞEHİR,ŞAHİNTEPE,32924,32254
BAŞAKŞEHİR,ŞAMLAR,1848,2056
BEYKOZ,ACARLAR,6663,6357
BEYKOZ,AKBABA,2341,2362
BEYKOZ,ALİBAHADIR,7780,7820
BEYKOZ,ANADOLU HİSARI,2612,2499
BEYKOZ,ANADOLU KAVAĞI,2619,2517
BEYKOZ,ANADOLUFENERİ,6950,6880
BEYKOZ,BAKLACI,2886,2975
BEYKOZ,BOZHANE,594,646
BEYKOZ,CUMHURİYET,2021,1996
BEYKOZ,DERESEKİ,1646,1677
BEYKOZ,ELMALI,2160,2233
BEYKOZ,FATİH,4207,4189
BEYKOZ,GÖKSU,2639,2716
BEYKOZ,GÖLLÜ,295,303
BEYKOZ,GÖRELE,1917,2011
BEYKOZ,GÖZTEPE,9469,9159
BEYKOZ,GÜMÜŞSUYU,14138,13733
BEYKOZ,KANLICA,3718,3674
BEYKOZ,KAVACIK,24016,23477
BEYKOZ,KAYNARCA,742,835
BEYKOZ,KILIÇLI,569,625
BEYKOZ,MAHMUTŞEVKETPAŞA,1632,1668
BEYKOZ,MERKEZ,5768,5632
BEYKOZ,ORTAÇEŞME,7452,7230
BEYKOZ,PAŞABAHÇE,4289,4223
BEYKOZ,PAŞAMANDIRA,441,456
BEYKOZ,POLONEZKÖY,322,386
BEYKOZ,POYRAZKÖY,841,892
BEYKOZ,RÜZGARLIBAHÇE,7434,7137
BEYKOZ,RİVA,2885,3266
BEYKOZ,SOĞUKSU,11585,11210
BEYKOZ,TOKATKÖY,14819,13833
BEYKOZ,YALIKÖY,4823,4628
BEYKOZ,YAVUZ SELİM,5439,5464
BEYKOZ,YENİ MAHALLE,19404,19236
BEYKOZ,ZERZAVATÇI,1137,1163
BEYKOZ,ÇAMLIBAHÇE,6161,5992
BEYKOZ,ÇENGELDERE,5123,5073
BEYKOZ,ÇUBUKLU,21764,21303
BEYKOZ,ÇİFTLİK,5608,5591
BEYKOZ,ÇİĞDEM,1109,10916
BEYKOZ,ÖRNEKKÖY,3722,3872
BEYKOZ,ÖĞÜMCE,4780,4810
BEYKOZ,İNCİRKÖY,16985,16688
BEYKOZ,İSHAKLI,1066,1356
BEYLİKDÜZÜ,ADNAN KAHVECİ,113989,110619
BEYLİKDÜZÜ,BARIŞ,87554,83382
BEYLİKDÜZÜ,BÜYÜKŞEHİR,21902,21257
BEYLİKDÜZÜ,CUMHURİYET,23427,24787
BEYLİKDÜZÜ,DEREAĞZI,8965,9848
BEYLİKDÜZÜ,GÜRPINAR,20545,21993
BEYLİKDÜZÜ,KAVAKLI,22968,25699
BEYLİKDÜZÜ,MARMARA,32604,32464
BEYLİKDÜZÜ,SAHİL,6724,6887
BEYLİKDÜZÜ,YAKUPLU,79642,80820
BEYOĞLU,ARAP CAMİ,1170,970
BEYOĞLU,ASMALI MESCİT,4590,4220
BEYOĞLU,BEDRETTİN,6120,6030
BEYOĞLU,BEREKETZADE,532,478
BEYOĞLU,BOSTAN,2269,1883
BEYOĞLU,BÜLBÜL,2470,2232
BEYOĞLU,CAMİİKEBİR,2771,2586
BEYOĞLU,CİHANGİR,3739,3319
BEYOĞLU,EMEKYEMEZ,236,159
BEYOĞLU,EVLİYA ÇELEBİ,2430,2470
BEYOĞLU,FETİHTEPE,13066,12436
BEYOĞLU,FİRUZAĞA,3859,367
