_id,YIL,ILCE,MAHALLE_ADI,GELEN ARIZA,GIDERILEN ARIZA
209,2023,BEYLİKDÜZÜ,BARIŞ MAH.,71,71
210,2023,BEYLİKDÜZÜ,BEYLİKDÜZÜ OSB,30,30
211,2023,BEYLİKDÜZÜ,BÜYÜKŞEHİR MAH.,25,25
212,2023,BEYLİKDÜZÜ,CUMHURİYET MAH.,19,19
213,2023,BEYLİKDÜZÜ,DEREAĞZI MAH.,334,334
214,2023,BEYLİKDÜZÜ,GÜRPINAR MAH.,200,200
215,2023,BEYLİKDÜZÜ,KAVAKLI MAH.,455,455
216,2023,BEYLİKDÜZÜ,MARMARA MAH.,91,91
217,2023,BEYLİKDÜZÜ,SAHİL MAH.,61,61
218,2023,BEYLİKDÜZÜ,YAKUPLU MAH.,398,398
219,2023,BEYOĞLU,ASMALI MESCİT MAH,10,10
220,2023,BEYOĞLU,BEDRETTİN MAH,3,3
221,2023,BEYOĞLU,BEREKETZADE MAH,7,7
222,2023,BEYOĞLU,BOSTAN MAH,1,1
223,2023,BEYOĞLU,BÜLBÜL MAH,15,15
224,2023,BEYOĞLU,CAMİİKEBİR MAH,19,19
225,2023,BEYOĞLU,CİHANGİR MAH,13,13
226,2023,BEYOĞLU,EMEKYEMEZ MAH,6,6
227,2023,BEYOĞLU,EVLİYA ÇELEBİ MAH,9,9
228,2023,BEYOĞLU,FETİHTEPE MAH,34,34
229,2023,BEYOĞLU,FİRUZAĞA MAH,29,29
230,2023,BEYOĞLU,GÜMÜŞSUYU MAH,8,8
231,2023,BEYOĞLU,HACIAHMET MAH,226,226
232,2023,BEYOĞLU,HACIMİMİ MAH,9,9
233,2023,BEYOĞLU,HALICIOĞLU MAH,37,37
234,2023,BEYOĞLU,HÜSEYİNAĞA MAH,8,8
235,2023,BEYOĞLU,KADIMEHMET EFENDİ MAH,32,32
236,2023,BEYOĞLU,KALYONCU KULLUĞU MAH,8,8
237,2023,BEYOĞLU,KAMER HATUN MAH,4,4
238,2023,BEYOĞLU,KAPTANPAŞA MAH,65,65
239,2023,BEYOĞLU,KATİPMUSTAFA ÇELEBİ MAH,14,14
240,2023,BEYOĞLU,KECECİ PİRİ MAH,27,27
241,2023,BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA MAH,6,6
242,2023,BEYOĞLU,KILIÇALİ PAŞA MAH,8,8
243,2023,BEYOĞLU,KOCATEPE MAH,49,49
244,2023,BEYOĞLU,KULAKSIZ MAH,33,33
245,2023,BEYOĞLU,KULOĞLU MAH,14,14
246,2023,BEYOĞLU,KÜCÜK PİYALE MAH,65,65
247,2023,BEYOĞLU,MÜEYYETZADE MAH,20,20
248,2023,BEYOĞLU,PÜRTELAŞ HASAN EFENDİ MAH,6,6
249,2023,BEYOĞLU,PİRİPAŞA MAH,34,34
250,2023,BEYOĞLU,PİYALEPAŞA MAH,58,58
251,2023,BEYOĞLU,SURURİ MEHMET EFENDİ MAH,47,47
252,2023,BEYOĞLU,SÜTLÜCE MAH,86,86
253,2023,BEYOĞLU,TOMTOM MAH,13,13
254,2023,BEYOĞLU,YAHYA KAHYA MAH,21,21
255,2023,BEYOĞLU,YENİŞEHİR MAH,35,35
256,2023,BEYOĞLU,ÇATMA MESCİT MAH,14,14
257,2023,BEYOĞLU,ÇUKUR MAH,9,9
258,2023,BEYOĞLU,ÖMER AVNİ MAH,10,10
259,2023,BEYOĞLU,ÖRNEKTEPE MAH,77,77
260,2023,BEYOĞLU,İSTİKLAL MAH,10,10
261,2023,BEYOĞLU,ŞAHKULU MAH,12,12
262,2023,BEYOĞLU,ŞEHİT MUHTAR MAH,21,21
263,2023,BEŞİKTAŞ,ABBASAĞA MAH,54,54
264,2023,BEŞİKTAŞ,AKAT MAH,96,87
265,2023,BEŞİKTAŞ,ARNAVUTKÖY MAH,16,16
266,2023,BEŞİKTAŞ,BALMUMCU MAH,40,40
267,2023,BEŞİKTAŞ,BEBEK MAH,44,44
268,2023,BEŞİKTAŞ,CİHANNÜMA MAH,32,32
269,2023,BEŞİKTAŞ,DİKİLİTAŞ MAH,82,82
270,2023,BEŞİKTAŞ,ETİLER MAH,47,42
271,2023,BEŞİKTAŞ,GAYRETTEPE MAH,29,29
272,2023,BEŞİKTAŞ,KONAKLAR MAH,74,74
273,2023,BEŞİKTAŞ,KURUÇEŞME MAH,21,21
274,2023,BEŞİKTAŞ,KÜLTÜR MAH,17,15
275,2023,BEŞİKTAŞ,LEVAZIM MAH,14,14
276,2023,BEŞİKTAŞ,LEVENT MAH,41,37
277,2023,BEŞİKTAŞ,MECİDİYE MAH,73,73
278,2023,BEŞİKTAŞ,MURADİYE MAH,31,31
279,2023,BEŞİKTAŞ,NİSBETİYE MAH,115,105
280,2023,BEŞİKTAŞ,ORTAKÖY MAH,54,54
281,2023,BEŞİKTAŞ,SİNANPAŞA MAH,31,31
282,2023,BEŞİKTAŞ,TÜRKALİ MAH,100,100
283,2023,BEŞİKTAŞ,ULUS MAH,32,30
284,2023,BEŞİKTAŞ,VİŞNEZADE MAH,92,92
285,2023,BEŞİKTAŞ,YILDIZ MAH,30,30
286,2023,ESENLER,15 TEMMUZ,95,95
287,2023,ESENLER,BİRLİK MAH,127,127
288,2023,ESENLER,DAVUTPAŞA MAH,96,96
289,2023,ESENLER,FATİH MAH,277,277
290,2023,ESENLER,FEVZİ ÇAKMAK MAH,155,155
291,2023,ESENLER,HAVAALANI MAH,142,142
292,2023,ESENLER,KAZIM KARABEKİR MAH,166,166
293,2023,ESENLER,KEMER MAH,103,103
294,2023,ESENLER,MENDERES MAH,167,167
295,2023,ESENLER,MİMAR SİNAN MAH,124,124
296,2023,ESENLER,NAMIK KEMAL MAH,89,89
297,2023,ESENLER,NİNE HATUN MAH,309,309
298,2023,ESENLER,ORUÇREİS MAH,430,430
299,2023,ESENLER,TUNA MAH,124,124
300,2023,ESENLER,TURGUT REİS MAH,291,291
301,2023,ESENLER,YAVUZ SELİM MAH,32,32
302,2023,ESENLER,ÇİFTE HAVUZLAR MAH,18,18
303,2023,ESENYURT,AKEVLER MAH,41,41
304,2023,ESENYURT,AKÇABURGAZ MAH.,254,254
305,2023,ESENYURT,AKŞEMSEDDİN MAH,121,121
306,2023,ESENYURT,ARDIÇLI MAH,25,25
307,2023,ESENYURT,ATATÜRK MAH,85,85
308,2023,ESENYURT,AŞIK VEYSEL MAH,22,22
309,2023,ESENYURT,BALIKYOLU MAH,131,131
310,2023,ESENYURT,BARBAROS HAYRETTİN PAŞA MAH,95,95
311,2023,ESENYURT,BATTALGAZİ MAH,63,63
312,2023,ESENYURT,BAĞLARÇEŞME MAH,132,132
313,2023,ESENYURT,CUMHURİYET MAH,25,25
314,2023,ESENYURT,ESENKENT MAH,18,18
315,2023,ESENYURT,FATİH MAH,150,150
316,2023,ESENYURT,GÖKEVLER MAH,45,45
317,2023,ESENYURT,GÜZELYURT MAH.,162,162
318,2023,ESENYURT,HÜRRİYET MAH,110,110
319,2023,ESENYURT,KOZA MAH,63,63
320,2023,ESENYURT,MEHMET AKİF ERSOY MAH,209,209
321,2023,ESENYURT,MEHTERÇEŞME MAH,298,298
322,2023,ESENYURT,MEVLANA MAH,33,33
323,2023,ESENYURT,NAMIK KEMAL MAH,334,334
324,2023,ESENYURT,NECİP FAZIL KISAKÜREK MAH,49,49
325,2023,ESENYURT,ORHAN GAZİ MAH,86,86
326,2023,ESENYURT,OSMANGAZİ MAH,114,114
327,2023,ESENYURT,PINAR MAH,314,311
328,2023,ESENYURT,PİRİ REİS MAH,80,80
329,2023,ESENYURT,SAADETDERE MAH,141,141
330,2023,ESENYURT,SELAHADDİN EYYUBİ MAH,94,94
331,2023,ESENYURT,SULTANİYE MAH,47,47
332,2023,ESENYURT,SÜLEYMANİYE MAH,73,73
333,2023,ESENYURT,TALATPAŞA MAH,129,129
334,2023,ESENYURT,TURGUT ÖZAL MAH,96,96
335,2023,ESENYURT,YENİKENT MAH,61,61
336,2023,ESENYURT,YEŞİLKENT MAH,172,172
337,2023,ESENYURT,YUNUS EMRE MAH,83,83
338,2023,ESENYURT,ZAFER MAH,63,63
339,2023,ESENYURT,ÇINAR MAH,189,189
340,2023,ESENYURT,ÖRNEK MAH,220,220
341,2023,ESENYURT,ÜÇEVLER MAH,114,113
342,2023,ESENYURT,İNCİRTEPE MAH,212,212
343,2023,ESENYURT,İNÖNÜ MAH,121,121
344,2023,ESENYURT,İSTİKLAL MAH,45,45
345,2023,ESENYURT,ŞEHİTLER MAH,56,56
346,2023,EYÜPSULTAN,5.LEVENT MAH,17,17
347,2023,EYÜPSULTAN,AKPINAR MAH,323,323
348,2023,EYÜPSULTAN,AKŞEMSETTİN MAH,184,184
349,2023,EYÜPSULTAN,ALİBEYKÖY MAH,76,76
350,2023,EYÜPSULTAN,AĞAÇLI MAH,26,26
351,2023,EYÜPSULTAN,DEFTERDAR MAH,14,14
352,2023,EYÜPSULTAN,DÜĞMECİLER MAH,38,38
353,2023,EYÜPSULTAN,EMNİYETTEPE MAH,73,73
354,2023,EYÜPSULTAN,ESENTEPE MAH,496,496
355,2023,EYÜPSULTAN,GÖKTÜRK MERKEZ MAH,95,95
356,2023,EYÜPSULTAN,GÜZELTEPE MAH,188,188
357,2023,EYÜPSULTAN,IŞIKLAR MAH,16,16
358,2023,EYÜPSULTAN,KARADOLAP MAH,402,402
359,2023,EYÜPSULTAN,MERKEZ MAH,82,82
360,2023,EYÜPSULTAN,MİMAR SİNAN MAH,100,100
361,2023,EYÜPSULTAN,MİTHATPAŞA MAH,107,107
362,2023,EYÜPSULTAN,NİŞANCI MAH,166,166
363,2023,EYÜPSULTAN,ODAYERİ MAH,58,58
364,2023,EYÜPSULTAN,PİRİNÇÇİ MAH,26,26
365,2023,EYÜPSULTAN,RAMİ CUMA MAH,91,91
366,2023,EYÜPSULTAN,RAMİ YENİ MAH,152,152
367,2023,EYÜPSULTAN,SAKARYA MAH,70,70
368,2023,EYÜPSULTAN,SİLAHTARAĞA MAH,151,151
369,2023,EYÜPSULTAN,TOPÇULAR MAH,57,57
370,2023,EYÜPSULTAN,YEŞİLPINAR MAH,355,355
371,2023,EYÜPSULTAN,ÇIRÇIR MAH,215,215
372,2023,EYÜPSULTAN,ÇİFTALAN MAH,2,2
373,2023,EYÜPSULTAN,İHSANİYE MAH,3,3
374,2023,EYÜPSULTAN,İSLAMBEY MAH,70,70
375,2023,FATİH,AKSARAY MAH,202,202
376,2023,FATİH,AKŞEMSETTİN MAH,122,122
377,2023,FATİH,ALEMDAR MAH,135,135
378,2023,FATİH,ALİ KUŞÇU MAH,92,92
379,2023,FATİH,ATİKALİ MAH,216,216
380,2023,FATİH,AYVANSARAY MAH,157,157
381,2023,FATİH,BALABANAĞA MAH,16,16
382,2023,FATİH,BALAT MAH,129,129
383,2023,FATİH,BEYAZIT MAH,40,40
384,2023,FATİH,BİNBİRDİREK MAH,23,23
385,2023,FATİH,CANKURTARAN MAH,27,27
386,2023,FATİH,CERRAHPAŞA MAH,67,67
387,2023,FATİH,CİBALİ MAH,63,63
388,2023,FATİH,DEMİRTAŞ MAH,18,18
389,2023,FATİH,DERVİŞ ALİ MAH,115,115
390,2023,FATİH,EMİN SİNAN MAH,76,76
391,2023,FATİH,HASEKİ SULTAN MAH,220,220
392,2023,FATİH,HIRKA-İ ŞERİF MAH,276,275
393,2023,FATİH,HOBYAR MAH,26,26
394,2023,FATİH,HOCA GIYASETTİN MAH,11,11
395,2023,FATİH,HOCAPAŞA MAH,66,66
396,2023,FATİH,KALENDERHANE MAH,23,23
397,2023,FATİH,KARAGÜMRÜK MAH,152,152
398,2023,FATİH,KATİP KASIM MAH,29,29
399,2023,FATİH,KEMALPAŞA MAH,65,65
400,2023,FATİH,KOCA MUSTAFAPAŞA MAH,134,134
401,2023,FATİH,KÜÇÜK AYASOFYA MAH,13,13
402,2023,FATİH,MERCAN MAH,21,21
403,2023,FATİH,MESİHPAŞA MAH,48,48
404,2023,FATİH,MEVLANAKAPI MAH,125,125
405,2023,FATİH,MOLLA FENARİ MAH,216,216
406,2023,FATİH,MOLLA GÜRANİ MAH,107,107
407,2023,FATİH,MOLLA HÜSREV MAH,49,49
408,2023,FATİH,MUHSİNE HATUN MAH,30,30
409,2023,FATİH,MİMAR HAYRETTİN MAH,47,47
410,2023,FATİH,MİMAR KEMALETTİN MAH,46,46
411,2023,FATİH,NİŞANCA MAH,35,35
412,2023,FATİH,RÜSTEMPAŞA MAH,20,20
413,2023,FATİH,SARAÇ İSHAK MAH,14,14
414,2023,FATİH,SARIDEMİR MAH,9,9
415,2023,FATİH,SEYYİD ÖMER MAH,135,135
416,2023,FATİH,SULTAN AHMET MAH,6,6
417,2023,FATİH,SURURİ MAH,16,16
418,2023,FATİH,SÜLEYMANİYE MAH,77,77
419,2023,FATİH,SÜMBÜL EFENDİ MAH,35,35
420,2023,FATİH,SİLİVRİKAPI MAH,67,67
421,2023,FATİH,TAHTAKALE MAH,5,5
422,2023,FATİH,TAYA HATUN MAH,6,6
423,2023,FATİH,TOPKAPI MAH,40,40
424,2023,FATİH,YAVUZ SULTAN SELİM MAH,147,147
425,2023,FATİH,YAVUZ SİNAN MAH,9,9
426,2023,FATİH,YEDİKULE MAH,75,75
427,2023,FATİH,ZEYREK MAH,210,210
428,2023,FATİH,İSKENDERPAŞA MAH,89,89
429,2023,FATİH,ŞEHREMİNİ MAH,120,120
430,2023,FATİH,ŞEHSUVAR BEY MAH,58,58
431,2023,G.O.PAŞA,BARBAROS HAYRETTİN PAŞA MAH.,321,321
432,2023,G.O.PAŞA,BAĞLARBAŞI MAH,143,143
433,2023,G.O.PAŞA,FEVZİ ÇAKMAK MAH,67,67
434,2023,G.O.PAŞA,HÜRRİYET MAH,397,397
435,2023,G.O.PAŞA,KARADENİZ MAH,327,327
436,2023,G.O.PAŞA,KARAYOLLARI MAH.,291,291
437,2023,G.O.PAŞA,KARLITEPE MAH,101,101
438,2023,G.O.PAŞA,KAZIM KARABEKİR MAH.,200,200
439,2023,G.O.PAŞA,MERKEZ MAH,148,148
440,2023,G.O.PAŞA,MEVLANA MAH,99,99
