_id,Yil,Ilce,Mahalle,Gelen Cagri Sayisi,Cevaplanan Cagri Sayisi
284,2022,BEYOĞLU,YAHYA KAHYA MAH,20,20
285,2022,BEYOĞLU,YENİŞEHİR MAH,35,33
286,2022,ÇATALCA,AKALAN MAH,1,1
287,2022,ÇATALCA,ATATÜRK MAH.,34,34
288,2022,ÇATALCA,AYDINLAR MAH,5,5
289,2022,ÇATALCA,BAHŞAYİŞ MAH.,14,14
290,2022,ÇATALCA,BAŞAK MAH,2,2
291,2022,ÇATALCA,ÇAKIL MAH.,22,22
292,2022,ÇATALCA,ÇANAKÇA MAH,53,53
293,2022,ÇATALCA,ÇİFTLİKKÖY MAH,16,16
294,2022,ÇATALCA,DAĞYENİCE MAH,16,16
295,2022,ÇATALCA,ELBASAN MAH,10,10
296,2022,ÇATALCA,FATİH MAH.,44,44
297,2022,ÇATALCA,FERHATPAŞA MAH,253,253
298,2022,ÇATALCA,GÖKÇEALİ MAH,1,1
299,2022,ÇATALCA,GÜMÜŞPINAR MAH,42,42
300,2022,ÇATALCA,HALLAÇLI MAH,13,13
301,2022,ÇATALCA,İHSANİYE MAH,15,15
302,2022,ÇATALCA,İNCEĞİZ MAH,16,16
303,2022,ÇATALCA,İZZETTİN MAH.,32,32
304,2022,ÇATALCA,KABAKÇA MAH,25,25
305,2022,ÇATALCA,KALEİÇİ MAH.,79,79
306,2022,ÇATALCA,KALFA MAH,4,4
307,2022,ÇATALCA,KARACAKÖY MERKEZ MAH.,14,14
308,2022,ÇATALCA,KARAMANDERE MAH,6,6
309,2022,ÇATALCA,KESTANELİK MAH,80,80
310,2022,ÇATALCA,KIZILCAALİ MAH,1,1
311,2022,ÇATALCA,MURATBEY MERKEZ MAH.,16,16
312,2022,ÇATALCA,NAKKAŞ MAH.,1,1
313,2022,ÇATALCA,OKLALI MAH,47,47
314,2022,ÇATALCA,ORMANLI MAH,7,7
315,2022,ÇATALCA,OVAYENİCE MAH.,1,1
316,2022,ÇATALCA,ÖRCÜNLÜ MAH,36,36
317,2022,ÇATALCA,ÖRENCİK MAH,3,3
318,2022,ÇATALCA,SUBAŞI MAH,33,33
319,2022,ÇATALCA,YALIKÖY MAH,10,10
320,2022,ÇATALCA,YAZLIK MAH,8,8
321,2022,ÇEKMEKÖY,ALEMDAĞ MAH.,18,18
322,2022,ÇEKMEKÖY,AYDINLAR MAH.,108,108
323,2022,ÇEKMEKÖY,CUMHURİYET MAH.,89,89
324,2022,ÇEKMEKÖY,ÇAMLIK MAH.,69,69
325,2022,ÇEKMEKÖY,ÇATALMEŞE MAH.,53,53
326,2022,ÇEKMEKÖY,EKŞİOĞLU MAH.,85,85
327,2022,ÇEKMEKÖY,GÜNGÖREN MAH.,77,77
328,2022,ÇEKMEKÖY,HAMİDİYE MAH.,54,54
329,2022,ÇEKMEKÖY,HÜSEYİNLİ MAH.,3,3
330,2022,ÇEKMEKÖY,KİRAZLIDERE MAH.,77,77
331,2022,ÇEKMEKÖY,KOÇULLU MAH.,20,20
332,2022,ÇEKMEKÖY,MEHMET AKİF MAH.,128,126
333,2022,ÇEKMEKÖY,MERKEZ MAH.,234,234
334,2022,ÇEKMEKÖY,MİMAR SİNAN MAH.,83,83
335,2022,ÇEKMEKÖY,NİŞANTEPE MAH.,33,33
336,2022,ÇEKMEKÖY,ÖMERLİ MAH.,45,45
337,2022,ÇEKMEKÖY,REŞADİYE MAH.,11,11
338,2022,ÇEKMEKÖY,SIRAPINAR MAH.,20,20
339,2022,ÇEKMEKÖY,SOĞUKPINAR MAH.,25,25
340,2022,ÇEKMEKÖY,SULTANÇİFTLİĞİ MAH.,141,141
341,2022,ÇEKMEKÖY,TAŞDELEN MAH.,35,35
342,2022,ESENLER,BİRLİK MAH,93,93
343,2022,ESENLER,ÇİFTE HAVUZLAR MAH,17,17
344,2022,ESENLER,DAVUTPAŞA MAH,95,95
345,2022,ESENLER,FATİH MAH,205,205
346,2022,ESENLER,FEVZİ ÇAKMAK MAH,68,68
347,2022,ESENLER,HAVAALANI MAH,142,142
348,2022,ESENLER,KAZIM KARABEKİR MAH,138,138
349,2022,ESENLER,KEMER MAH,37,37
350,2022,ESENLER,MENDERES MAH,100,100
351,2022,ESENLER,MİMAR SİNAN MAH,58,58
352,2022,ESENLER,NAMIK KEMAL MAH,47,47
353,2022,ESENLER,NİNE HATUN MAH,134,134
354,2022,ESENLER,ORUÇREİS MAH,220,220
355,2022,ESENLER,TUNA MAH,120,120
356,2022,ESENLER,TURGUT REİS MAH,144,144
357,2022,ESENLER,YAVUZ SELİM MAH,34,34
358,2022,ESENLER,15 TEMMUZ,12,12
359,2022,ESENYURT,AKÇABURGAZ MAH.,179,179
360,2022,ESENYURT,AKEVLER MAH,52,52
361,2022,ESENYURT,AKŞEMSEDDİN MAH,73,73
362,2022,ESENYURT,ARDIÇLI MAH,14,14
363,2022,ESENYURT,AŞIK VEYSEL MAH,17,17
364,2022,ESENYURT,ATATÜRK MAH,44,44
365,2022,ESENYURT,BAĞLARÇEŞME MAH,140,140
366,2022,ESENYURT,BALIKYOLU MAH,106,106
367,2022,ESENYURT,BARBAROS HAYRETTİN PAŞA MAH,63,63
368,2022,ESENYURT,BATTALGAZİ MAH,99,99
369,2022,ESENYURT,CUMHURİYET MAH,12,12
370,2022,ESENYURT,ÇINAR MAH,144,144
371,2022,ESENYURT,ESENKENT MAH,8,8
372,2022,ESENYURT,FATİH MAH,93,92
373,2022,ESENYURT,GÖKEVLER MAH,31,31
374,2022,ESENYURT,GÜZELYURT MAH.,156,156
375,2022,ESENYURT,HÜRRİYET MAH,75,75
376,2022,ESENYURT,İNCİRTEPE MAH,82,82
377,2022,ESENYURT,İNÖNÜ MAH,85,85
378,2022,ESENYURT,İSTİKLAL MAH,78,78
379,2022,ESENYURT,KOZA MAH,39,39
380,2022,ESENYURT,MEHMET AKİF ERSOY MAH,90,90
381,2022,ESENYURT,MEHTERÇEŞME MAH,79,79
382,2022,ESENYURT,MEVLANA MAH,34,34
383,2022,ESENYURT,NAMIK KEMAL MAH,112,112
384,2022,ESENYURT,NECİP FAZIL KISAKÜREK MAH,81,81
385,2022,ESENYURT,ORHAN GAZİ MAH,65,65
386,2022,ESENYURT,OSMANGAZİ MAH,234,234
387,2022,ESENYURT,ÖRNEK MAH,95,95
388,2022,ESENYURT,PINAR MAH,195,195
389,2022,ESENYURT,PİRİ REİS MAH,35,34
390,2022,ESENYURT,SAADETDERE MAH,63,63
391,2022,ESENYURT,SELAHADDİN EYYUBİ MAH,482,482
392,2022,ESENYURT,SULTANİYE MAH,68,68
393,2022,ESENYURT,SÜLEYMANİYE MAH,103,103
394,2022,ESENYURT,ŞEHİTLER MAH,36,35
395,2022,ESENYURT,TALATPAŞA MAH,84,84
396,2022,ESENYURT,TURGUT ÖZAL MAH,89,89
397,2022,ESENYURT,ÜÇEVLER MAH,106,106
398,2022,ESENYURT,YENİKENT MAH,51,51
399,2022,ESENYURT,YEŞİLKENT MAH,124,124
400,2022,ESENYURT,YUNUS EMRE MAH,135,135
401,2022,ESENYURT,ZAFER MAH,29,29
402,2022,EYÜPSULTAN,AĞAÇLI MAH,6,6
403,2022,EYÜPSULTAN,AKPINAR MAH,9,9
404,2022,EYÜPSULTAN,AKŞEMSETTİN MAH,121,121
405,2022,EYÜPSULTAN,ALİBEYKÖY MAH,86,86
406,2022,EYÜPSULTAN,ÇIRÇIR MAH,150,150
407,2022,EYÜPSULTAN,ÇİFTALAN MAH,10,10
408,2022,EYÜPSULTAN,DEFTERDAR MAH,38,38
409,2022,EYÜPSULTAN,DÜĞMECİLER MAH,43,43
410,2022,EYÜPSULTAN,EMNİYETTEPE MAH,54,54
411,2022,EYÜPSULTAN,ESENTEPE MAH,114,114
412,2022,EYÜPSULTAN,GÖKTÜRK MERKEZ MAH,96,96
413,2022,EYÜPSULTAN,GÜZELTEPE MAH,158,158
414,2022,EYÜPSULTAN,IŞIKLAR MAH,2,2
415,2022,EYÜPSULTAN,İHSANİYE MAH,3,3
416,2022,EYÜPSULTAN,İSLAMBEY MAH,77,77
417,2022,EYÜPSULTAN,KARADOLAP MAH,175,175
418,2022,EYÜPSULTAN,MERKEZ MAH,57,57
419,2022,EYÜPSULTAN,MİMAR SİNAN MAH,58,58
420,2022,EYÜPSULTAN,MİTHATPAŞA MAH,88,88
421,2022,EYÜPSULTAN,NİŞANCI MAH,34,34
422,2022,EYÜPSULTAN,ODAYERİ MAH,17,17
423,2022,EYÜPSULTAN,PİRİNÇÇİ MAH,15,15
424,2022,EYÜPSULTAN,RAMİ CUMA MAH,120,120
425,2022,EYÜPSULTAN,RAMİ YENİ MAH,125,125
426,2022,EYÜPSULTAN,SAKARYA MAH,79,79
427,2022,EYÜPSULTAN,SİLAHTARAĞA MAH,42,42
428,2022,EYÜPSULTAN,TOPÇULAR MAH,78,78
429,2022,EYÜPSULTAN,YEŞİLPINAR MAH,114,114
430,2022,EYÜPSULTAN,5.LEVENT MAH,13,13
431,2022,FATİH,AKSARAY MAH,80,80
432,2022,FATİH,AKŞEMSETTİN MAH,75,75
433,2022,FATİH,ALEMDAR MAH,18,18
434,2022,FATİH,ALİ KUŞÇU MAH,117,117
