_id,Yil,Ilce,Mahalle,Gelen Ariza,Giderilen Ariza
402,2023,FATİH,HIRKA-İ ŞERİF MAH,392,392
403,2023,FATİH,HOBYAR MAH,210,210
404,2023,FATİH,HOCA GIYASETTİN MAH,108,108
405,2023,FATİH,HOCAPAŞA MAH,95,95
406,2023,FATİH,KALENDERHANE MAH,50,50
407,2023,FATİH,KARAGÜMRÜK MAH,259,259
408,2023,FATİH,KATİP KASIM MAH,166,166
409,2023,FATİH,KEMALPAŞA MAH,170,170
410,2023,FATİH,KOCA MUSTAFAPAŞA MAH,422,422
411,2023,FATİH,KÜÇÜK AYASOFYA MAH,160,160
412,2023,FATİH,MERCAN MAH,102,102
413,2023,FATİH,MESİHPAŞA MAH,136,136
414,2023,FATİH,MEVLANAKAPI MAH,490,490
415,2023,FATİH,MOLLA FENARİ MAH,361,361
416,2023,FATİH,MOLLA GÜRANİ MAH,351,351
417,2023,FATİH,MOLLA HÜSREV MAH,59,59
418,2023,FATİH,MUHSİNE HATUN MAH,113,113
419,2023,FATİH,MİMAR HAYRETTİN MAH,136,136
420,2023,FATİH,MİMAR KEMALETTİN MAH,113,113
421,2023,FATİH,NİŞANCA MAH,188,188
422,2023,FATİH,RÜSTEMPAŞA MAH,97,97
423,2023,FATİH,SARAÇ İSHAK MAH,89,89
424,2023,FATİH,SARIDEMİR MAH,68,68
425,2023,FATİH,SEYYİD ÖMER MAH,546,546
426,2023,FATİH,SULTAN AHMET MAH,102,102
427,2023,FATİH,SURURİ MAH,183,183
428,2023,FATİH,SÜLEYMANİYE MAH,99,99
429,2023,FATİH,SÜMBÜL EFENDİ MAH,197,197
430,2023,FATİH,SİLİVRİKAPI MAH,148,148
431,2023,FATİH,TAHTAKALE MAH,65,65
432,2023,FATİH,TAYA HATUN MAH,68,68
433,2023,FATİH,TOPKAPI MAH,323,323
434,2023,FATİH,YAVUZ SULTAN SELİM MAH,324,324
435,2023,FATİH,YAVUZ SİNAN MAH,77,77
436,2023,FATİH,YEDİKULE MAH,353,352
437,2023,FATİH,ZEYREK MAH,335,335
438,2023,FATİH,İSKENDERPAŞA MAH,296,296
439,2023,FATİH,ŞEHREMİNİ MAH,485,485
